gauge_id,num_dams,res_store_sum,n_dams,first_dam_year,last_dam_year,total_storage,reservoir_index,irrigation_frac,hydroelec_frac,drinking_frac,flood_frac,overflow_frac,navigation_frac,tailing_frac,pop_density_2000,pop_density_2005,pop_density_2010,pop_density_2015,pop_density_2020,urban_frac_1985,urban_frac_1995,urban_frac_2005,crops_frac_1985,crops_frac_1995,crops_frac_2005
4061,58,0,109,1871,2014,834025850,1.671938447,1,0,0,0,0,0,0,257.7837764,272.9850826,287.7510466,304.7747671,323.7751525,0.004351935,0.009073846,0.010224791,0.856362357,0.876596188,0.87823688
4062,524,0,726,1871,2014,59551514003,3.381367745,0.89178618,0.052151239,0.002607562,0.005215124,0.001303781,0.003911343,0.001303781,271.5236406,291.5140063,313.2876968,337.7875684,364.8574234,0.005292528,0.008426616,0.012821111,0.738485555,0.738497726,0.741235577
4063,5,0,9,1964,2010,3099912747,1.070068782,0.625,0.25,0,0,0,0,0,180.3576326,182.2080554,185.9969196,184.380698,192.6498368,0.000387561,0.002154838,0.002501059,0.354147935,0.372301285,0.370828553
4064,271,0,389,1871,2014,15119340993,2.69830295,0.927135678,0.037688442,0,0.002512563,0,0,0,262.7461874,288.3209186,316.9753733,350.041416,386.9086967,0.003907739,0.009207526,0.010322073,0.802554815,0.818212926,0.816609627
5001,4,7744.16,4,1970,2001,1199668000,1.147073213,0.363636364,0.090909091,0.090909091,0.090909091,0.090909091,0.090909091,0,274.2803429,278.202863,282.6413851,287.0314303,292.347155,0.003006252,0.004762952,0.00942563,0.261692371,0.150592187,0.227919766
5002,54,40938.844,58,1000,2009,6631262815,0.99061602,0.746478873,0.112676056,0.014084507,0.028169014,0.014084507,0.014084507,0,375.5772642,407.2534783,439.9581449,477.9565408,521.8844231,0.00539774,0.010592212,0.016786305,0.244642263,0.22748445,0.169364741
5003,2,0,2,1982,1985,245787000,0.027525342,0.666666667,0.333333333,0,0,0,0,0,230.4917759,230.9722107,245.2376623,239.9902349,242.8864767,0.002757619,0.004982756,0.008244645,0.308588819,0.050437622,0.07804202
5004,0,0,2,1991,1992,24040000,0.191987536,1,0,0,0,0,0,0,810.3114797,873.2418963,945.2532528,1038.369664,1132.426413,0.035758221,0.06370243,0.117275689,0.248655899,0.459688351,0.344032987
5005,2,633,2,1977,1985,17947002.38,0.406032363,0.666666667,0,0,0.333333333,0,0,0,191.8983778,213.3843643,242.2283971,255.1637242,289.5898711,0.000181633,0.000419634,0.001390429,0.408310003,0.297971352,0.327289353
5006,6,0,9,1965,2005,1589505100,,0.545454545,0.454545455,0,0,0,0,0,270.1055453,280.1877323,290.8685533,298.18564,312.4361733,0.001341232,0.002360916,0.00291421,0.151104416,0.063602787,0.102976492
5007,2,0,2,1973,1983,223740000,0.321477372,1,0,0,0,0,0,0,202.7091887,209.7211679,217.2014495,234.6867399,245.9708034,0.001363803,0.003256843,0.006167646,0.207657652,0.203084501,0.012396358
5008,76,13987.292,89,1000,2009,11251063920,1.493850887,0.571428571,0.232142857,0.026785714,0.044642857,0.017857143,0.035714286,0.008928571,360.7167804,388.5778718,418.2754153,450.7387971,489.1455298,0.005442992,0.010453708,0.017022394,0.239468271,0.227986797,0.197508718
5009,9,0,10,1896,2004,323463000,,0.8,0,0,0,0,0,0,995.616954,1204.500262,1416.133934,1673.16634,1978.936285,0.022744678,0.037300039,0.058942217,0.460541197,0.315452297,0.287268623
5010,2,0,2,1982,1985,245787000,0.09335188,0.666666667,0.333333333,0,0,0,0,0,213.6553886,203.9038806,211.5223729,203.1363523,206.8455109,0.003805335,0.006790359,0.012036937,0.167867702,0.034589816,0.063739369
5011,0,0,0,,,0,,,,,,,,,487.7750978,521.91645,549.5759982,581.0417361,618.4849171,0.013405955,0.014648287,0.019547426,0.39855693,0.395679212,0.614294538
5012,83,5096.62,101,1000,2009,11526717920,1.563889031,0.598425197,0.212598425,0.023622047,0.05511811,0.015748031,0.031496063,0.007874016,388.945671,419.720271,452.1282117,489.3663725,531.6237341,0.008504653,0.014237274,0.023265975,0.273724606,0.277584648,0.259823964
5013,2,0,5,1991,2005,913040000,0.377788741,0.333333333,0.666666667,0,0,0,0,0,449.3238246,460.6654542,472.7712918,474.000592,489.2110558,0.003371229,0.005294198,0.00621143,0.08192329,0.065147602,0.09497373
5014,7,0,10,1958,2007,251614000,0.806214168,0.769230769,0.076923077,0,0.153846154,0,0,0,263.2289426,286.7432557,311.8803834,344.0243517,384.7559329,0.008484341,0.010538553,0.014757861,0.329786188,0.370354875,0.429722401
5015,8,0,14,1961,1984,896284058,0.670040855,0,0.846153846,0,0,0.076923077,0,0,188.0249903,195.67851,202.0696039,209.0503246,212.8983768,0.000444855,0.000484692,0.000464773,0.038908181,0.086826327,0.065592819
5016,0,0,0,,,0,,,,,,,,,882.6400294,806.5017323,812.234036,802.7980716,824.1431573,0.016043033,0.018166376,0.077006559,0.096588496,0,0.026046336
5017,0,0,0,,,0,0,,,,,,,,173.3744174,167.6856033,179.4021079,182.8436168,178.1559856,0.003677479,0.004903305,0.006193648,0.235874772,0.263665543,0.226471395
5018,16,0,24,1930,1990,1873860103,3.140610091,0.137931034,0.586206897,0.034482759,0.034482759,0.034482759,0.068965517,0.034482759,261.145956,268.6240172,277.4940955,287.2843141,302.4837517,0.004019472,0.006503693,0.014040864,0.120232048,0.125292041,0.160053523
5019,0,0,0,,,0,,,,,,,,,224.735925,251.9594406,249.5058699,283.466448,304.273672,0.001595226,0.002186051,0.002570087,0.389235178,0.53835928,0.521107205
5020,0,0,0,,,0,,,,,,,,,283.5170336,289.1329477,308.0560367,322.3454048,354.3047964,0.004375586,0.004545252,0.004447024,0.50864848,0.462365495,0.5313033
5021,6,0,7,1896,1993,268270000,1.132292254,0.714285714,0,0,0,0,0,0,1194.07451,1449.951277,1709.877192,2029.531258,2404.928375,0.028293679,0.046400099,0.073322303,0.45692241,0.32890922,0.288127745
5022,7,0,9,1930,1977,121697750.3,0.371991854,0.111111111,0.777777778,0,0,0,0.111111111,0,206.2357387,202.2084204,199.7140284,189.2166832,179.7767005,0.001244127,0.004361763,0.005913262,0.112278802,0.017520235,0.02214546
5023,0,0,0,,,0,0,,,,,,,,575.0247463,626.1217489,680.3571171,735.1554448,793.233592,0.014307559,0.01602678,0.019440426,0.417307931,0.528487003,0.460222342
5024,2,0,2,1984,2001,144758000,0.732687028,0.666666667,0,0,0,0,0,0,280.1954437,290.9459192,302.1426278,304.0461949,311.6053979,0.00293276,0.006079368,0.009612937,0.270598059,0.129387684,0.175904522
5025,1,0,1,1986,1986,8460000,1.66940955,1,0,0,0,0,0,0,272.7198209,316.2714015,327.6034714,358.7051907,390.6348728,0,0,0,0.326556366,0.329781268,0.338586652
5026,14,0,14,1895,1970,189010914.6,,0.875,0,0,0.0625,0,0,0,284.7291041,290.2604635,294.0591626,299.8185587,309.6206978,0.002006255,0.002856336,0.005563591,0.310604763,0.297192194,0.170909143
5027,15,0,15,1895,1970,212890914.6,0.310858948,0.882352941,0,0,0.058823529,0,0,0,325.7226804,331.170285,336.5037737,343.2546609,353.0681022,0.003954181,0.006243186,0.01153903,0.304824735,0.276925725,0.135253982
5028,10,0,13,1959,2005,1756218100,0.155179156,0.625,0.375,0,0,0,0,0,334.0805436,352.0812568,372.5689155,392.8939633,409.7712174,0.003040404,0.009157658,0.013456837,0.113040236,0.238218259,0.137863895
5029,60,0,64,1000,2009,9373263817,1.371690739,0.728395062,0.111111111,0.024691358,0.037037037,0.012345679,0.024691358,0,356.3752478,386.806947,418.1208547,453.2782084,494.0913468,0.005022654,0.009501083,0.014977036,0.249009463,0.234747193,0.186751442
6001,4,35615.83,12,1964,2010,1589671200,0.552656467,1,0,0,0,0,0,0,292.3060951,316.9901832,349.4998564,381.4616673,416.4122276,0.010044113,0.010416813,0.010485716,0.559390087,0.564430935,0.564095818
6002,1,1697,1,1985,1985,58100000,,1,0,0,0,0,0,0,180.1240314,192.6376887,200.3935452,214.0746536,229.2712607,0.000907495,0.000901525,0.000883614,0.427251125,0.447663797,0.445783133
6003,0,0,0,,,0,,,,,,,,,113.2151049,123.3613048,123.6165654,138.9865141,152.7347015,0,0,0,0.396137322,0.408445253,0.399156249
6004,6,3032,9,1963,1990,2598774000,,0.642857143,0.142857143,0,0,0,0,0.071428571,412.3891056,455.6185418,505.2098669,558.6229237,621.9735981,0.033711626,0.036001641,0.037153515,0.495927241,0.549768338,0.532167497
6005,0,0,0,,,0,0,,,,,,,,329.8960962,352.1120254,385.8564159,416.9329155,439.9344734,0.029486628,0.0296261,0.018003464,0.522379386,0.522635084,0.525726705
6006,11,825,22,1963,2010,4200865200,0.593031025,0.814814815,0.074074074,0,0,0,0,0.037037037,391.9454186,429.6430343,471.4561707,518.2076226,569.9396016,0.022943873,0.025053471,0.025527452,0.496911469,0.523724445,0.515575594
6007,8,3290.566,8,1980,2002,173365000,0.049091915,0.888888889,0.111111111,0,0,0,0,0,245.8688608,262.0951449,277.6114686,297.7434205,317.118494,0.010014319,0.010027701,0.010025471,0.544335107,0.565255889,0.56439274
6008,11,0,22,1963,2010,4200865200,0.601746476,0.814814815,0.074074074,0,0,0,0,0.037037037,372.3704605,406.7871894,449.2126329,493.9429403,543.3548652,0.022885546,0.024114948,0.024640945,0.524539013,0.551834843,0.543174564
6009,12,444.46,23,1963,2010,4300765200,,0.821428571,0.071428571,0,0,0,0,0.035714286,376.0162409,411.2378638,450.4997382,494.0876402,542.5984678,0.021271842,0.023157555,0.023585108,0.475491017,0.499764441,0.493099721
6010,3,0,3,1981,1990,105360000,,0.75,0.25,0,0,0,0,0,205.3076212,216.8672072,230.7190185,245.4486007,264.1065013,0.005047074,0.005047074,0.005144133,0.504543113,0.521155153,0.520751984
6011,12,0,23,1963,2010,4300765200,,0.821428571,0.071428571,0,0,0,0,0.035714286,374.295732,409.6993888,447.1704641,489.2989229,534.8701476,0.025407983,0.027024739,0.02582655,0.49690255,0.518537571,0.513252762
